,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
10,The Mannequin Murderer,2022-07-20,49107,3919,443,"Downtown Las Vegas. In the shadows of the lustrous main strip, parts of it are a hotpot of crime and homelessness. The perfect spot for a would-be serial killer to satisfy his dark urges. And following a spate of attacks on homeless men, it would take an inventive plan to attempt to snare a murderer in action... 


Daniel Aldape / David Dunn / Shane Schindler

--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources
https://pastebin.com/ghVksfpL

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR

Fluidscape by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/by/4.0/
Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100393
Artist: http://incompetech.com/

I Am a Man Who Will Fight for Your Honor by Chris Zabriskie is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/by/4.0/
Source: http://chriszabriskie.com/honor/

Artist: http://chriszabriskie.com/",Jul,Little Shop of Crime
11,The Greensburg 6 | The Harrowing Case of Jennifer Daugherty,2022-07-13,97768,4752,864,"On February 11th, 2010, the quiet city of Greensburg, Pennsylvania, was blanketed with snow. And on that frigid morning, a truck driver made his way to his cab, which was parked outside a middle school. Little did he know he was about to make a chilling discovery... one that would open up a harrowing case and shake this small community to its core.

--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources
https://pastebin.com/1VzEwnhm

Almost in F - Tranquillity by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/...
Source: http://incompetech.com/music/royalty-...
Artist: http://incompetech.com/

Fluidscape by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/...
Source: http://incompetech.com/music/royalty-...
Artist: http://incompetech.com/

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR",Jul,Little Shop of Crime
12,The Flat of Horrors | The Tragic Case of Julia Rawson,2022-07-06,112289,6272,521,"Julia Rawson was a happy, bright young woman who seemingly vanished from Dudley following a warm day in May of 2019. Investigators began to retrace her steps, unaware that they were about to unfold one of the darkest cases they'd ever encountered. Julia had walked in to what they described as ""The Flat of Horrors"", becoming the pawn in the acting out of the twisted fantasy of Nathan Ellis and David Leesley.

--------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources
https://pastebin.com/m9LZdmdv

Almost in F - Tranquillity by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/by/4.0/
Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100394
Artist: http://incompetech.com/

Fluidscape by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/by/4.0/
Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100393
Artist: http://incompetech.com/

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR",Jul,Little Shop of Crime
13,The Shocking Case of Randall Lee Smith,2022-06-29,117016,6403,611,"The Appalachian Trail is a formidable wilderness. Its vast forested stretches and magnificent mountain ranges are as serene as they are perilous. Hungry black bears, coyotes and venomous snakes lurk in its primeval depths. But just occasionally, a different type of monster is walking its paths, hungry for blood.

When Robert Mountford and Susan Ramsay go missing from the trail, the hunt is on before the killer strikes again...

This is The Shocking Case of Randall Lee Smith
--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources
https://pastebin.com/Wj9aTSx2

Almost in F - Tranquillity by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/by/4.0/
Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100394
Artist: http://incompetech.com/

Fluidscape by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/by/4.0/
Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100393
Artist: http://incompetech.com/

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR",Jun,Little Shop of Crime
14,The Kauhajoki School Shooting,2022-06-22,28800,2106,144,"Less than a year after the worst mass shooting in Finnish peacetime history, when Pekka-Eric Auvinen left 8 Jokela Highschool students dead, the country was rocked by an even deadlier attack.

It was a cool autumn morning in 2008, and the start of a new year at a college in the quiet town of Kauhajoki in Western Finland. But it wouldn't stay quiet... because one of its students, Matti Juhani Saari, was about to walk in, shrouded in rage, and armed with a semi-automatic pistol.

(NOTE: The Virginia Tech shooting actually resulted in 32 deaths, plus the shooter. Sorry for any confusion.)

--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources
https://pastebin.com/wpWAAHx9

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR",Jun,Little Shop of Crime
15,The Man Who Wouldn't Die | The Durable Mike Malloy,2022-06-15,41181,2875,278,"Little is know about the origins of the man they call The Durable Mike Malloy, The Irish Rasputin or, simply, Iron Mike.  But his utter refusal to die, despite many an attempt on his life, is a curious tale indeed.

--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources
https://pastebin.com/4ZPCUVGm

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR",Jun,Little Shop of Crime
16,"Murder at 36,000ft | Yuji Nishizawa",2022-06-08,26707,2270,207,"It's Tokyo, Japan, on July 23rd, 1999, and All Nippon Airways Flight 61, a Boeing 747 carrying 517 people, is nosediving just 1000ft from the ground. One of its passengers has just committed the murder of captain Naoyuki Nagashima. Is he about to be responsible for the death of hundreds more?

This is Murder at 36,000ft - Yuji Nishizawa.

--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources 
https://pastebin.com/1BdNaU2M

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR

Ishikari Lore by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/by/4.0/
Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100192
Artist: http://incompetech.com/",Jun,Little Shop of Crime
17,The Case of Akku Yadav,2022-06-01,48211,3318,379,"For over a decade, Bharat Kalicharan, better known as Akku Yadav, and his reign of terror brought unimaginable fear to Kasturba Nagar slum, in Nagpur, India. And when police refused to hold him accountable for his crimes, 200 brave women, empowered by the actions of Usha Narayane, decided to take the law into their own hands.

The Case of Akku Yadav.

--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources 
https://pastebin.com/tWU2YrDH

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR

Dhaka by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 licence. https://creativecommons.org/licenses/by/4.0/
Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1400003
Artist: http://incompetech.com/",Jun,Little Shop of Crime
18,The Morgue Monster | David Fuller,2022-05-25,192485,9041,942,"For three decades, the Bedsit Murders case sat cold. Many had given up on ever solving the Tunbridge Wells killings of Wendy Knell and Caroline Pierce. But modern developments in DNA technology would lead police down the darkest of rabbit holes, where they would come face-to-face with a monster more depraved than they could possibly ever have conceived.

This is The Morgue (Mortuary) Monster - David Fuller.

--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources 
https://pastebin.com/e0p16QzH

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR",May,Little Shop of Crime
19,The Tragic Case of Gregory Biggs | The Windshield Murder,2022-05-18,46690,3163,388,"In the early hours of a Texas Fort Worth morning, Chante Mallard hit Gregory Glenn Biggs with her Chevrolet Cavalier. But what starts out as a tragic accident turns into one of the most disturbing murders you'll ever witness.  Mallard holds Gregory's life in her hands. But a rash decision sparks an act of self-preservation that would have tragic consequences for both of them.

The is The Tragic Case of Gregory Biggs - The Windshield Murder.

--------------------

Disclaimer
This channel is a one-man endeavour. All research is performed by me, and any errors are unintentional but occasionally inevitable. No offence is intended. I take great care to use only creative commons or licensed materials, or those that fall under fair use. If you are the copyright owner of any materials I have accidentally used, and you have an issue with it, please do get in touch.

Contact
TheLSOC@mail.com

Sources 
https://pastebin.com/FiL6Aphn

The Music of The LSOC
https://www.youtube.com/playlist?list=PLbaRbVcS1el1F35RWwEmfkwh01tqWmIzR",May,Little Shop of Crime
